,CJPL,Kamioka,LNGS,SURF,SNOlab
0,"(9.0, 13.0, 3.593, 3.7010000000000005, 1, 1)","(9.0, 13.0, 3.5660000000000003, 3.7010000000000005, 1, 1)","(9.0, 13.0, 3.539, 3.7010000000000005, 1, 1)","(5.0, 9.0, 3.62, 3.6470000000000002, 1, 1)","(5.0, 9.0, 3.62, 3.6470000000000002, 1, 1)"
1,"(13.0, 17.0, 3.4850000000000003, 3.782, 1, 1)","(13.0, 17.0, 3.4850000000000003, 3.782, 1, 1)","(13.0, 17.0, 3.458, 3.782, 1, 1)","(9.0, 13.0, 3.5120000000000005, 3.728, 1, 1)","(9.0, 13.0, 3.5120000000000005, 3.728, 1, 1)"
2,"(17.0, 21.0, 3.3770000000000002, 3.782, 1, 1)","(17.0, 21.0, 3.3770000000000002, 3.782, 1, 1)","(17.0, 21.0, 3.2960000000000003, 3.782, 1, 1)","(13.0, 17.0, 3.458, 3.782, 1, 1)","(13.0, 17.0, 3.458, 3.782, 1, 1)"
3,"(21.0, 25.0, 3.188, 3.809, 1, 1)","(21.0, 25.0, 3.215, 3.809, 1, 1)","(21.0, 25.0, 3.161, 3.809, 1, 1)","(17.0, 21.0, 3.2960000000000003, 3.782, 1, 1)","(17.0, 21.0, 3.2960000000000003, 3.782, 1, 1)"
4,"(25.0, 29.0, 3.269, 3.809, 1, 1)","(25.0, 29.0, 3.242, 3.8360000000000003, 1, 1)","(25.0, 29.0, 3.269, 3.8630000000000004, 1, 1)","(21.0, 25.0, 3.161, 3.8360000000000003, 1, 1)","(21.0, 25.0, 3.188, 3.8360000000000003, 1, 1)"
5,"(29.0, 33.0, 3.269, 3.8630000000000004, 1, 1)","(29.0, 33.0, 3.2960000000000003, 3.8630000000000004, 1, 1)","(29.0, 33.0, 3.269, 3.8630000000000004, 1, 1)","(25.0, 29.0, 3.242, 3.8630000000000004, 1, 1)","(25.0, 29.0, 3.242, 3.8630000000000004, 1, 1)"
6,"(33.0, 37.0, 3.431, 3.8630000000000004, 1, 1)","(33.0, 37.0, 3.431, 3.8630000000000004, 1, 1)","(33.0, 37.0, 3.431, 3.8630000000000004, 1, 1)","(29.0, 33.0, 3.3230000000000004, 3.8630000000000004, 1, 1)","(29.0, 33.0, 3.35, 3.8630000000000004, 1, 1)"
7,"(37.0, 41.0, 3.458, 3.89, 1, 1)","(37.0, 41.0, 3.458, 3.89, 1, 1)","(37.0, 41.0, 3.458, 3.89, 1, 1)","(33.0, 37.0, 3.431, 3.89, 1, 1)","(33.0, 37.0, 3.431, 3.89, 1, 1)"
8,"(41.0, 45.0, 3.4850000000000003, 3.8630000000000004, 1, 1)","(41.0, 45.0, 3.458, 3.9170000000000003, 1, 1)","(41.0, 45.0, 3.4850000000000003, 3.9170000000000003, 1, 1)","(37.0, 41.0, 3.458, 3.89, 1, 1)","(37.0, 41.0, 3.458, 3.89, 1, 1)"
9,"(45.0, 49.0, 3.539, 3.89, 1, 1)","(45.0, 49.0, 3.539, 3.89, 1, 1)","(45.0, 49.0, 3.539, 3.89, 1, 1)","(41.0, 45.0, 3.4850000000000003, 3.9170000000000003, 1, 1)","(41.0, 45.0, 3.458, 3.9170000000000003, 1, 1)"
10,"(49.0, 53.0, 3.593, 3.89, 1, 1)","(49.0, 53.0, 3.593, 3.89, 1, 1)","(49.0, 53.0, 3.593, 3.89, 1, 1)","(45.0, 49.0, 3.539, 3.89, 1, 1)","(45.0, 49.0, 3.539, 3.89, 1, 1)"
11,"(53.0, 57.0, 3.62, 3.9170000000000003, 1, 1)","(53.0, 57.0, 3.62, 3.9170000000000003, 1, 1)","(53.0, 57.0, 3.62, 3.944, 1, 1)","(49.0, 53.0, 3.593, 3.944, 1, 1)","(49.0, 53.0, 3.593, 3.944, 1, 1)"
12,"(57.0, 61.0, 3.62, 3.944, 1, 1)","(57.0, 61.0, 3.62, 3.944, 1, 1)","(57.0, 61.0, 3.62, 3.944, 1, 1)","(53.0, 57.0, 3.62, 3.944, 1, 1)","(53.0, 57.0, 3.62, 3.944, 1, 1)"
13,,,,"(57.0, 61.0, 3.62, 3.971, 1, 1)","(57.0, 61.0, 3.62, 3.971, 1, 1)"
